name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;324;0;557;3103;1069;3103;1069;0
header;238;140;238;174;1878;174;1878;140
A;1040;203;1040;231;1061;231;1061;203
B;636;348;636;368;651;368;651;348
A;933;685;933;686;935;686;935;685
B;1037;882;1037;909;1057;909;1057;882
A;704;1209;704;1209;705;1209;705;1209
C;1030;1548;1030;1576;1051;1576;1051;1548
B;572;2009;572;2028;587;2028;587;2009
D;1033;2215;1033;2242;1055;2242;1055;2215
D;606;2614;606;2629;628;2629;628;2614
A;895;2776;895;2784;900;2784;900;2776
C;990;2790;990;2816;1010;2816;1010;2790
