name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;394;0;653;3123;1115;3123;1092;0
header;254;136;254;184;1891;184;1891;136
A;1059;204;1059;233;1080;233;1080;204
B;882;342;882;369;916;369;916;342
B;1063;883;1063;909;1082;909;1082;883
D;704;1353;704;1380;735;1380;735;1353
C;1066;1557;1066;1586;1087;1586;1087;1557
A;747;1759;747;1762;751;1762;751;1759
B;840;1888;840;1903;849;1903;849;1888
A;645;2117;645;2133;653;2133;653;2117
D;1073;2235;1073;2262;1094;2262;1094;2235
A;1054;2775;1054;2780;1059;2780;1059;2775
A;787;2897;787;2897;788;2897;788;2897
